국가,ISO3,검토사례수,공식후보_우선순위,공식후보_지수명,공식후보_제공기관,감사상태,공식후보_URL,현재선택_우선순위,현재선택_지수분류,현재선택_지수명,현재선택_제공기관,주기,실제관측값수,최초기간,최근기간,최근값상태,최근조회시각,현재선택_URL,자동사용_주의사항
Indonesia,IDN,3,3,Wholesale Price Index—Construction Materials,BPS-Statistics Indonesia,공식 후보 확인·기준연도 개편 연결 필요,https://www.bps.go.id/en/publication/2026/04/22/4b14ba643724ed678156917c/the-wholesale-price-indices-of-indonesia--2023-100--2025.html,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/IDN/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Iraq,IRQ,3,2,Construction materials prices and workers' wages,Central Statistical Organization,공식 구성요소 확인·BOQ 가중치 필요,https://www.cosit.gov.iq/ar/constr-stat/constr-pr,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/IRQ/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Jordan,JOR,2,,,Department of Statistics,WPI는 확인했으나 적격 건설 하위지수 미확인,https://dosweb.dos.gov.jo/economic/price-indices/table-price-indices/,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/JOR/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Kenya,KEN,1,1,Construction Input Price Index—Building Cost Index,Kenya National Bureau of Statistics,공식 후보 확인·분기 시계열 통합 필요,https://www.knbs.or.ke/button/construction-input-pi/,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Kyrgyzstan,KGZ,5,,,National Statistical Committee,공개된 적격 건설지수 미확인,https://stat.gov.kg/en/statistics/ceny-i-tarify/,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/KGZ/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Laos,LAO,3,,,Lao Statistics Bureau,공개된 적격 건설지수 미확인,https://www.lsb.gov.la/,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/LAO/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Mozambique,MOZ,1,,,Instituto Nacional de Estatística,공개된 적격 건설지수 미확인,https://ine.gov.mz/en/,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/MOZ/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Myanmar,MMR,1,,,Central Statistical Organization,공개된 적격 건설지수 미확인,https://www.csostat.gov.mm/home/NSDP,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/MMR/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Nepal,NPL,5,1,Input Price Index of Construction Sectors (IPICS),National Statistics Office,FY 2025/26 Q2까지 실제 분기 시계열 적재·최신값 잠정,https://nsonepal.gov.np/content/13454/price-and-production-index---q2-082-83/,1,national_construction_price,Overall Input Price Index of Construction Sectors (Material & Labour),"National Statistics Office, Government of Nepal",quarterly,42,2015-Q3,2025-Q4,provisional,2026-07-30T00:00:00+09:00,https://nsonepal.gov.np/content/13454/price-and-production-index---q2-082-83/,공식 상위지수 실제값 적재; 대상일 관측값 존재 여부를 실행 시 재확인
Pakistan,PAK,2,2,Urban/Rural Construction Items Prices,Pakistan Bureau of Statistics,공식 구성요소 가격 확인·BOQ 가중치 필요,https://www.pbs.gov.pk/price-statistics/,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/PAK/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Paraguay,PRY,5,2,CAPACO construction input and work-item costs,Cámara Paraguaya de la Industria de la Construcción,비정부 공종비 후보·공식 종합지수 미확인,https://www.capaco.org.py/,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/PRY/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Philippines,PHL,1,3,Construction Materials Wholesale Price Index,Philippine Statistics Authority,공식 후보 확인·NCR 지역 범위·시계열 미적재,https://psa.gov.ph/price-indices/cmwpi,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/PHL/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Senegal,SEN,2,1,Indice des Coûts des BTP (IBTP),Agence Nationale de la Statistique et de la Démographie,공식 후보 확인·2022Q4 신기준 연결 필요,https://www.ansd.sn/Indicateur/indice-des-couts-des-btp-ibtp,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/SEN/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Sri Lanka,LKA,1,1,Cost of Construction Index,Construction Industry Development Authority,공식 자료에서 지수 존재 확인·원시 시계열 미적재,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/publications/otherpub/publication_sri_lanka_socio_economic_data_folder_2025_e.pdf,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/LKA/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Timor-Leste,TLS,1,,,Instituto Nacional de Estatística Timor-Leste,공개된 적격 건설지수 미확인,https://inetl-ip.gov.tl/,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/TLS/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Turkmenistan,TKM,1,,,State Committee of Turkmenistan on Statistics,건설 가격정보 시스템 추진은 확인했으나 공개 시계열 미확인,https://stat.gov.tm/en/,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/TKM/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Uganda,UGA,5,1,Construction Input Price Index (CIPI),Uganda Bureau of Statistics,공식 후보 확인·월별 시계열 통합 필요,https://www.ubos.org/?p_id=104&pagename=explore-publications,4,gdp_deflator,GDP deflator (base year varies by country),"World Bank, World Development Indicators",annual,11,2015,2025,published,2026-07-29T22:55:36+00:00,https://api.worldbank.org/v2/country/UGA/indicator/NY.GDP.DEFL.ZS,상위지수 미적재 또는 기간 미충족 시 거시지표 대체; 보고서에 한계 명시
Uzbekistan,UZB,2,1,Price index for investments in fixed assets and construction works,National Statistics Committee,실제 연간 시계열 적재·범위 주의,https://siat.stat.uz/data/1302/?lang=en,1,national_construction_price,Price index for investments in fixed assets and construction works,National Statistics Committee of the Republic of Uzbekistan,annual,11,2015,2025,published,2026-07-30T00:00:00+09:00,https://siat.stat.uz/data/1302/?lang=en,공식 상위지수 실제값 적재; 대상일 관측값 존재 여부를 실행 시 재확인
